index 28 response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 29 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 30 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 31 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 32 response time is 19, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 33 response time is 31, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 34 response time is 51, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 35 response time is 27, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 36 response time is 12, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 37 response time is 13, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 38 response time is 29, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 39 response time is 17, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 40 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 41 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 42 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 43 response time is 25, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 44 response time is 25, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 45 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 46 response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 47 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 48 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 49 response time is 24, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 50 response time is 28, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 51 response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 52 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 53 response time is 25, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 54 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 55 response time is 25, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 56 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 57 response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 58 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 59 response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 60 response time is 11, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 61 response time is 15, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 62 response time is 18, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 63 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 64 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 65 response time is 18, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 66 response time is 12, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 67 response time is 8, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 68 response time is 15, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 69 response time is 30, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 70 response time is 24, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 71 response time is 26, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 72 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 73 response time is 13, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 74 response time is 17, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 75 response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 76 response time is 30, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 77 response time is 32, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 78 response time is 12, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 79 response time is 13, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 80 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 81 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 82 response time is 16, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 83 response time is 26, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 84 response time is 6, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 85 response time is 27, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 86 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 87 response time is 23, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 88 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 89 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 90 response time is 17, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 91 response time is 10, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 92 response time is 18, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 93 response time is 24, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 94 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 95 response time is 17, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 96 response time is 17, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 97 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 98 response time is 11, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 99 response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 100 response time is 16, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 101 response time is 21, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 102 response time is 11, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
