response time is 10 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 5 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 5 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 5 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 5 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 8 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 7 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 6 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
response time is 9 try = 1 leader alive Membership leader : orderer4, Members :orderer1 orderer2 orderer3 orderer5 
